c1,c2,mean_inf,mean_t
14,11,56563.3,1027.8293688964848
14,12,128367.51,925.1896936035156
14,13,188699.15000000002,690.8434857177734
14,14,237393.46,587.104521789551
15,0,278.57999999999987,40.23950454711914
15,1,341.85000000000014,55.32472534179688
15,2,419.34,65.67759750366207
15,3,526.47,82.20259826660153
15,4,662.9200000000002,90.15676727294922
15,5,870.24,108.49201644897461
15,6,1151.94,125.04273376464843
15,7,1531.25,143.58059982299804
15,8,2279.1600000000008,182.1245783996582
15,9,3414.73,232.1031167602539
15,10,6181.83,330.6215289306643
15,11,15070.95,542.9961218261717
15,12,64663.05,1027.7987612915035
15,13,131523.63999999996,842.6752917480469
15,14,184777.36999999994,686.9681756591796
15,15,230799.92,596.4941006469725
16,0,278.19000000000017,39.328863677978504
16,1,341.63000000000005,56.2634245300293
16,2,417.98,66.14359268188473
16,3,528.4300000000002,77.86069961547854
16,4,654.6600000000002,89.59875946044922
16,5,840.7400000000001,100.28290161132813
16,6,1083.0200000000007,118.25253433227539
16,7,1428.3100000000006,134.40302764892567
16,8,1967.42,165.25760009765617
16,9,2704.48,188.55661041259765
16,10,4013.79,239.2269435119629
16,11,7262.16,335.8116522216799
16,12,19302.919999999995,595.9969171142579
16,13,59093.42,936.417855834961
16,14,120963.05,824.1098431396484
16,15,174092.51000000007,686.7767901611328
16,16,217193.25999999995,592.5316329956054
17,0,278.25000000000006,39.27388305664063
17,1,340.71,54.21715866088867
17,2,419.0,67.68875778198245
17,3,515.7900000000002,77.93852813720703
17,4,635.1199999999998,87.98228912353515
17,5,813.01,97.4198991394043
17,6,1042.3199999999993,110.57868392944336
17,7,1312.6100000000006,120.08040771484374
17,8,1775.07,140.7644744873047
17,9,2341.89,160.46990493774416
17,10,3078.1600000000008,184.6014384460449
17,11,4597.870000000001,232.33213592529296
17,12,8224.799999999997,335.9842750549317
17,13,17869.649999999987,543.4162066650389
17,14,52226.57,839.8145635986328
17,15,105432.34,814.6172241210937
17,16,154981.82,699.5370681762694
17,17,197370.08999999997,593.9761911010742
17,18,234933.95,526.0208914184573
18,0,278.36999999999995,39.259737854003895
18,1,340.86000000000007,53.09075790405274
18,2,417.3999999999999,66.26044692993166
18,3,517.0000000000001,76.56918762207029
18,4,641.9000000000002,90.00626449584965
18,5,805.26,95.33108093261718
18,6,1006.06,107.0689453125
18,7,1256.7800000000007,118.45477661132813
18,8,1652.28,127.04762405395513
18,9,1968.6,138.32995803833006
18,10,2758.18,173.40044494628899
18,11,3559.62,183.75909973144536
18,12,5041.030000000002,222.63483489990233
18,13,8036.6,287.41367218017587
18,14,13952.26,404.52756561279296
18,15,34504.99,646.2587600708007
18,16,80286.52999999998,786.7298095703125
18,17,127425.58,723.2083728027344
18,18,168692.63000000003,625.8765170288083
18,19,206391.98000000004,533.9944372558597
19,0,278.15000000000003,39.888190612792975
19,1,340.75000000000006,54.269070892333986
19,2,416.5,67.09663467407229
19,3,516.7799999999997,75.8736720275879
19,4,628.46,86.06294723510742
19,5,793.0200000000003,90.42508728027343
19,6,990.65,103.16971633911135
19,7,1213.2799999999997,109.40878204345704
19,8,1529.49,119.36049041748046
19,9,1825.66,130.10214706420905
19,10,2310.17,136.96239761352552
19,11,2920.84,146.6881030273438
19,12,3862.7700000000004,174.38012420654297
19,13,5021.739999999998,202.56553909301758
19,14,7535.64,254.00178863525383
19,15,11509.22,318.5795991516113
19,16,21203.479999999992,476.57578353881837
19,17,47278.74,656.0826980590821
19,18,87430.49,712.5072027587889
19,19,130019.97,652.7718399047849
19,20,167880.66000000015,568.9006344604493
19,21,201439.2500000001,506.7145913696289
20,0,278.39,39.593288574218775
20,1,340.75999999999993,56.466419067382816
20,2,416.24,64.97495468139648
20,3,518.34,77.3868585205078
20,4,628.7000000000002,84.09412582397458
20,5,777.05,90.05753784179687
20,6,949.53,97.11866882324217
20,7,1164.4400000000003,102.82122177124022
20,8,1404.1399999999996,105.56730758666993
20,9,1649.5900000000006,114.43527404785156
20,10,1971.28,116.77849166870118
20,11,2406.2900000000004,126.93522476196296
20,12,2904.890000000001,135.88677139282228
20,13,3864.35,158.0331838989258
20,14,4884.300000000002,181.43608612060547
20,15,6362.95,203.5496713256836
20,16,9102.660000000007,258.62201171875006
20,17,13390.66,290.0437951660156
20,18,25264.93,462.4136540222168
20,19,41017.51999999999,522.8171183776857
20,20,78553.40999999997,633.6081274414067
20,21,117640.62,590.7553295898437
20,22,149935.43999999997,546.1552511596678
20,23,181381.86,493.09828125
20,24,211483.22,460.89104431152344
