c1,c2,mean_inf,mean_t
0,0,278.72,40.130942382812485
0,1,344.9,57.97289276123047
0,2,448.28,78.32512054443357
0,3,639.7200000000003,114.03761611938477
0,4,1114.8000000000006,191.27373565673827
0,5,4619.919999999999,580.0970275878906
0,6,116724.47,1146.096708374023
0,7,232580.78,682.5340374755858
1,0,278.52,40.75344100952148
1,1,345.41000000000014,57.208936614990236
1,2,445.98,79.9754397583007
1,3,630.5100000000001,116.19651229858398
1,4,1073.0400000000002,183.6044180297852
1,5,3713.06,470.2573258972168
1,6,100704.22999999998,1281.8790533447263
1,7,220069.25,717.2129211425778
2,0,278.56999999999994,41.43708465576171
2,1,345.3599999999999,56.81292236328125
2,2,441.48,77.62132934570315
2,3,623.2300000000002,109.39370223999023
2,4,1017.1999999999997,175.14548904418942
2,5,2865.75,396.22869247436523
2,6,78474.79,1391.5168408203126
2,7,202339.96,752.3353430175781
3,0,278.42999999999995,39.9404948425293
3,1,345.3000000000001,56.512581787109376
3,2,443.72,78.80942489624026
3,3,609.3,105.06823715209961
3,4,989.9800000000001,165.46944869995116
3,5,2259.879999999999,315.4780656433105
3,6,48404.72,1555.0113098144532
3,7,179051.96000000005,837.1864794921875
3,8,270104.46,585.4148809814455
4,0,278.4600000000002,39.85909454345702
4,1,346.83,58.22677703857422
4,2,439.86,76.37012680053712
4,3,600.0699999999998,102.01563003540038
4,4,934.04,154.0176664733886
4,5,1898.55,276.5200090026855
4,6,20229.73,1173.9069915771483
4,7,150917.80999999994,966.443589477539
4,8,247160.05,637.7278363037105
5,0,278.19999999999993,40.085080566406276
5,1,345.6500000000001,58.46536010742187
5,2,439.91,79.12106628417968
5,3,595.0299999999997,105.79182006835937
5,4,873.68,144.13745223999027
5,5,1658.9199999999996,238.1317594909668
5,6,8665.960000000003,716.2901452636721
5,7,118988.7,1142.6085235595701
5,8,219662.31,706.1638299560547
6,0,278.38000000000005,39.751201477050785
6,1,341.61,55.66901123046875
6,2,433.75,74.11217025756838
6,3,585.94,101.538505859375
6,4,829.7,130.6605848693848
6,5,1442.4500000000005,200.2490960693359
6,6,4960.189999999998,494.1803433227539
6,7,80253.88000000002,1349.6072668457034
6,8,188648.94,788.9919421386717
6,9,266997.69000000006,582.3455056762695
7,0,278.5300000000001,40.61137847900391
7,1,342.66,56.290977020263675
7,2,430.16,73.74569442749025
